ID Year
00001 2015
00001 2018
00012 2017
00015 2018
00016 2016
00017 2018
00022 2015
00026 2015
00026 2016
00042 2018
00047 2017
00053 2016
00055 2018
00064 2017
00066 2015
00074 2016
00078 2015
00105 2015
00122 2015
00125 2015
00136 2017
00136 2018
00139 2018
00143 2017
00144 2017
00145 2015
00145 2018
00151 2018
00152 2017
00152 2018
00157 2016
00157 2018
00158 2017
00158 2018
00160 2016
00160 2018
00165 2016
00165 2018
00170 2018
00172 2016
00172 2018
00179 2015
00179 2016
00181 2015
00181 2016
00181 2017
00191 2017
00196 2015
00205 2016
00211 2015
00217 2016
00219 2016
00219 2017
00220 2018
00221 2018
00223 2018
00236 2016
00237 2015
00237 2016
00248 2018
00251 2016
00251 2018
00254 2015
00254 2018
00257 2016
00257 2017
00261 2016
00264 2017
00264 2018
00281 2015
00281 2016
00287 2015
00289 2017
00290 2015
00290 2018
00312 2017
00317 2016
00317 2017
00324 2016
00327 2015
00327 2016
00327 2018
00328 2018
00330 2016
00331 2015
00334 2018
00335 2016
00335 2017
00343 2018
00346 2015
00353 2017
00355 2017
00359 2018
00360 2018
00370 2017
00370 2018
00378 2015
00383 2017
00384 2016
00385 2016
00392 2018
00393 2015
00394 2016
00395 2015
00396 2017
00403 2016
00406 2016
00406 2018
00409 2016
00410 2015
00416 2015
00418 2016
00422 2015
00432 2017
00438 2016
00461 2015
00461 2016
00466 2015
00466 2016
00466 2018
00467 2015
00467 2017
00469 2018
00480 2017
00486 2017
00487 2017
00492 2018
00493 2017
00495 2016
00507 2016
00508 2017
00509 2015
00511 2015
00512 2018
00513 2016
00517 2017
00519 2016
00520 2015
00520 2018
00521 2015
00523 2015
00523 2016
00539 2016
00545 2015
00545 2018
00553 2015
00553 2016
00557 2016
00560 2017
00561 2015
00563 2015
00563 2018
00567 2017
00574 2015
00577 2015
00577 2018
00582 2016
00582 2017
00584 2018
00589 2016
00589 2017
00597 2018
00599 2015
00601 2016
00601 2017
00601 2018
00602 2016
00618 2015
00618 2016
00618 2018
00624 2018
00629 2015
00631 2018
00633 2015
00633 2016
00633 2018
00636 2016
00636 2017
00636 2018
00639 2015
00639 2016
00640 2015
00644 2015
00646 2015
00646 2017
00648 2015
00648 2016
00662 2016
00662 2018
00666 2018
00668 2015
00673 2015
00673 2016
00673 2018
00678 2018
00686 2015
00686 2018
00687 2018
00693 2016
00698 2015
00699 2016
00702 2017
00725 2017
00729 2018
00730 2018
00747 2018
00749 2016
00753 2017
00754 2016
00757 2018
00763 2017
00764 2015
00770 2018
00772 2015
00778 2016
00785 2016
00794 2016
00796 2017
00798 2015
00799 2015
00809 2018
00812 2015
00812 2017
00818 2015
00830 2018
00832 2016
00832 2017
00837 2015
00837 2016
00840 2018
00847 2017
00854 2017
00856 2017
00861 2016
00864 2018
00871 2015
00881 2015
00881 2017
00886 2017
00894 2016
00896 2015
00896 2016
00896 2017
00897 2015
00897 2017
00898 2016
00900 2015
00900 2018
00909 2016
00911 2015
00917 2016
00917 2018
00918 2017
00923 2018
00925 2016
00926 2016
00927 2015
00933 2016
00935 2015
00935 2017
00935 2018
00938 2015
00939 2018
00941 2015
00943 2015
00943 2017
00943 2018
00949 2018
00952 2015
00952 2016
00952 2017
00958 2015
00959 2017
00959 2018
00960 2017
00964 2016
00964 2018
00965 2015
00971 2016
00974 2016
00974 2017
00975 2018
00976 2015
00976 2017
00977 2015
00977 2017
00982 2016
00982 2018
00985 2016
00985 2017
00992 2015
00994 2017
01000 2016
01000 2018
01002 2016
01011 2017
01013 2017
01018 2015
01018 2017
01020 2016
01020 2018
01021 2018
01025 2017
01026 2017
01038 2015
01041 2015
01041 2016
01041 2017
01047 2015
01054 2015
01055 2015
01062 2015
01062 2017
01063 2015
01066 2016
01071 2016
01083 2015
01089 2016
01094 2018
01098 2016
01100 2016
01103 2015
01103 2018
01104 2016
01106 2015
01107 2016
01107 2017
01122 2016
01126 2015
01127 2015
01127 2016
01127 2017
01130 2016
01134 2015
01138 2016
01138 2018
01140 2017
01145 2016
01149 2017
01151 2016
01155 2017
01160 2017
01174 2015
01178 2017
01179 2018
01180 2015
01185 2015
01186 2015
01186 2018
01192 2016
01196 2017
01198 2016
01213 2018
01218 2016
01233 2018
01239 2018
01248 2015
01249 2018
01259 2016
01262 2015
01267 2017
01270 2017
01270 2018
01280 2017
01282 2015
01282 2016
01287 2015
01290 2016
01290 2018
01300 2016
01302 2018
01306 2016
01309 2015
01316 2018
01319 2017
01320 2017
01320 2018
01326 2016
01333 2016
01341 2016
01350 2015
01364 2018
01372 2016
01384 2016
01385 2018
01388 2016
01390 2015
01390 2018
01391 2018
01393 2015
01394 2015
01397 2016
